day,downloads
2021-02-26,8
2021-02-27,5
2021-02-28,8
2021-03-01,8
2021-03-02,9
2021-03-03,29
2021-03-04,15
2021-03-05,16
2021-03-06,15
2021-03-07,10
2021-03-08,21
2021-03-09,11
2021-03-10,12
2021-03-11,14
2021-03-12,20
2021-03-13,21
2021-03-14,15
2021-03-15,13
2021-03-16,12
2021-03-17,17
2021-03-18,14
2021-03-19,3
2021-03-20,10
2021-03-21,1
2021-03-22,9
2021-03-23,6
2021-03-24,14
2021-03-25,13
2021-03-26,15
2021-03-27,7
2021-03-28,13
2021-03-29,6
2021-03-30,16
2021-03-31,7
2021-04-01,15
2021-04-02,2
2021-04-03,11
2021-04-04,6
2021-04-05,11
2021-04-06,5
2021-04-07,30
2021-04-08,28
2021-04-09,12
2021-04-10,26
2021-04-11,10
2021-04-12,33
2021-04-13,8
2021-04-14,28
2021-04-15,7
2021-04-16,24
2021-04-17,3
2021-04-18,20
2021-04-19,11
2021-04-20,27
2021-04-21,13
2021-04-22,21
2021-04-23,8
2021-04-24,14
2021-04-25,9
2021-04-26,13
2021-04-27,14
2021-04-28,12
2021-04-29,7
2021-04-30,5
2021-05-01,11
2021-05-02,8
2021-05-03,13
2021-05-04,19
2021-05-05,7
2021-05-06,15
2021-05-07,7
2021-05-08,11
2021-05-09,4
2021-05-10,13
2021-05-11,10
2021-05-12,23
2021-05-13,9
2021-05-14,15
2021-05-15,5
2021-05-16,11
2021-05-17,7
2021-05-18,21
2021-05-19,16
2021-05-20,17
2021-05-21,14
2021-05-22,20
2021-05-23,6
2021-05-24,6
2021-05-25,17
2021-05-26,7
2021-05-27,9
2021-05-28,10
2021-05-29,1
2021-05-30,11
2021-05-31,4
2021-06-01,9
2021-06-02,6
2021-06-03,7
2021-06-05,7
2021-06-06,11
2021-06-07,3
2021-06-08,10
2021-06-09,14
2021-06-10,13
2021-06-11,8
2021-06-12,12
2021-06-13,9
2021-06-14,4
2021-06-15,7
2021-06-16,12
2021-06-17,6
2021-06-18,10
2021-06-19,6
2021-06-20,13
2021-06-21,5
2021-06-22,8
2021-06-23,8
2021-06-24,10
2021-06-25,3
2021-06-26,10
2021-06-27,6
2021-06-28,18
2021-06-29,3
2021-06-30,15
2021-07-01,10
2021-07-02,11
2021-07-03,11
2021-07-04,7
2021-07-05,12
2021-07-06,8
2021-07-07,12
2021-07-08,16
2021-07-09,3
2021-07-10,7
2021-07-11,4
2021-07-12,13
2021-07-13,7
2021-07-14,10
2021-07-15,5
2021-07-16,7
2021-07-17,9
2021-07-18,7
2021-07-19,4
2021-07-20,18
2021-07-21,8
2021-07-22,11
2021-07-23,3
2021-07-24,7
2021-07-25,2
2021-07-26,11
2021-07-27,4
2021-07-28,14
2021-07-29,4
2021-07-30,12
2021-07-31,2
2021-08-01,12
2021-08-02,6
2021-08-03,26
2021-08-04,105
2021-08-05,14
2021-08-06,4
2021-08-07,9
2021-08-08,6
2021-08-09,21
2021-08-10,8
2021-08-11,14
2021-08-12,11
2021-08-13,12
2021-08-14,4
2021-08-15,10
2021-08-16,6
2021-08-17,6
2021-08-18,8
2021-08-19,16
2021-08-20,4
2021-08-21,6
2021-08-22,2
2021-08-23,14
2021-08-24,4
2021-08-25,18
2021-08-26,6
2021-08-27,5
2021-08-28,10
2021-08-29,8
2021-08-30,9
2021-08-31,15
2021-09-01,8
2021-09-03,13
2021-09-04,1
2021-09-05,2
2021-09-06,12
2021-09-07,10
2021-09-08,10
2021-09-09,8
2021-09-10,13
2021-09-11,5
2021-09-12,8
2021-09-13,4
2021-09-14,11
2021-09-15,6
2021-09-16,10
2021-09-17,1
2021-09-18,6
2021-09-19,1
2021-09-20,13
2021-09-21,4
2021-09-22,13
2021-09-23,2
2021-09-24,12
2021-09-25,1
2021-09-26,6
2021-09-27,16
2021-09-28,19
2021-09-29,16
2021-09-30,12
